delta_total,delta_total_norm,delta_version,fallback_count,key,matched_key,missing_count,status
503.3489990234375,3.5592148303985596,best_feasible_reinsert_v1,0,solomon_dataset_100_R_narrow_1777582045.txt,solomon_dataset_100_R_narrow_1777582045,0,updated
451.432373046875,3.1921088695526123,best_feasible_reinsert_v1,0,solomon_dataset_63_R_wide_1777582045.txt,solomon_dataset_63_R_wide_1777582045,0,updated
111.94620513916016,0.7915791273117065,best_feasible_reinsert_v1,0,solomon_dataset_110_C_wide_1777582045.txt,solomon_dataset_110_C_wide_1777582045,0,updated
313.16925048828125,2.2144410610198975,best_feasible_reinsert_v1,0,solomon_dataset_41_R_wide_1777582045.txt,solomon_dataset_41_R_wide_1777582045,0,updated
628.7222900390625,4.445737838745117,best_feasible_reinsert_v1,0,solomon_dataset_95_R_narrow_1777582045.txt,solomon_dataset_95_R_narrow_1777582045,0,updated
610.747802734375,4.318639278411865,best_feasible_reinsert_v1,0,solomon_dataset_98_R_narrow_1777582045.txt,solomon_dataset_98_R_narrow_1777582045,0,updated
85.96533966064453,0.6078667640686035,best_feasible_reinsert_v1,0,solomon_dataset_103_C_wide_1777582045.txt,solomon_dataset_103_C_wide_1777582045,0,updated
112.9093017578125,0.7983893156051636,best_feasible_reinsert_v1,0,solomon_dataset_117_C_wide_1777582045.txt,solomon_dataset_117_C_wide_1777582045,0,updated
225.2204132080078,1.5925487279891968,best_feasible_reinsert_v1,0,solomon_dataset_20_RC_wide_1777582045.txt,solomon_dataset_20_RC_wide_1777582045,0,updated
520.2124633789062,3.678457498550415,best_feasible_reinsert_v1,0,solomon_dataset_107_R_narrow_1777582045.txt,solomon_dataset_107_R_narrow_1777582045,0,updated
180.86549377441406,1.2789121866226196,best_feasible_reinsert_v1,0,solomon_dataset_124_C_narrow_1777582045.txt,solomon_dataset_124_C_narrow_1777582045,0,updated
190.97171020507812,1.3503738641738892,best_feasible_reinsert_v1,0,solomon_dataset_122_C_narrow_1777582045.txt,solomon_dataset_122_C_narrow_1777582045,0,updated
324.9463195800781,2.297717332839966,best_feasible_reinsert_v1,0,solomon_dataset_77_R_wide_1777582045.txt,solomon_dataset_77_R_wide_1777582045,0,updated
416.28179931640625,2.943556547164917,best_feasible_reinsert_v1,0,solomon_dataset_126_C_narrow_1777582045.txt,solomon_dataset_126_C_narrow_1777582045,0,updated
473.9546203613281,3.351365566253662,best_feasible_reinsert_v1,0,solomon_dataset_125_R_narrow_1777582045.txt,solomon_dataset_125_R_narrow_1777582045,0,updated
326.4735412597656,2.308516263961792,best_feasible_reinsert_v1,0,solomon_dataset_115_C_narrow_1777582045.txt,solomon_dataset_115_C_narrow_1777582045,0,updated
289.2649230957031,2.0454118251800537,best_feasible_reinsert_v1,0,solomon_dataset_130_C_narrow_1777582045.txt,solomon_dataset_130_C_narrow_1777582045,0,updated
199.67869567871094,1.411941647529602,best_feasible_reinsert_v1,0,solomon_dataset_83_C_wide_1777582045.txt,solomon_dataset_83_C_wide_1777582045,0,updated
188.18711853027344,1.3306838274002075,best_feasible_reinsert_v1,0,solomon_dataset_18_C_wide_1777582045.txt,solomon_dataset_18_C_wide_1777582045,0,updated
228.56393432617188,1.616191029548645,best_feasible_reinsert_v1,0,solomon_dataset_128_C_narrow_1777582045.txt,solomon_dataset_128_C_narrow_1777582045,0,updated
97.50785064697266,0.6894845962524414,best_feasible_reinsert_v1,0,solomon_dataset_91_C_wide_1777582045.txt,solomon_dataset_91_C_wide_1777582045,0,updated
273.947021484375,1.9370979070663452,best_feasible_reinsert_v1,0,solomon_dataset_53_R_wide_1777582045.txt,solomon_dataset_53_R_wide_1777582045,0,updated
395.8303527832031,2.798943281173706,best_feasible_reinsert_v1,0,solomon_dataset_137_C_narrow_1777582045.txt,solomon_dataset_137_C_narrow_1777582045,0,updated
335.8988952636719,2.3751637935638428,best_feasible_reinsert_v1,0,solomon_dataset_112_C_narrow_1777582045.txt,solomon_dataset_112_C_narrow_1777582045,0,updated
605.8449096679688,4.283970355987549,best_feasible_reinsert_v1,0,solomon_dataset_139_R_narrow_1777582045.txt,solomon_dataset_139_R_narrow_1777582045,0,updated
288.3317565917969,2.038813591003418,best_feasible_reinsert_v1,0,solomon_dataset_135_R_wide_1777582045.txt,solomon_dataset_135_R_wide_1777582045,0,updated
777.4478759765625,5.497386455535889,best_feasible_reinsert_v1,0,solomon_dataset_127_R_narrow_1777582045.txt,solomon_dataset_127_R_narrow_1777582045,0,updated
260.5205078125,1.842158317565918,best_feasible_reinsert_v1,0,solomon_dataset_109_R_wide_1777582045.txt,solomon_dataset_109_R_wide_1777582045,0,updated
254.0497589111328,1.796403169631958,best_feasible_reinsert_v1,0,solomon_dataset_87_R_wide_1777582045.txt,solomon_dataset_87_R_wide_1777582045,0,updated
